"id","ind","respuesta"
"acuddeh2013080401",633,"-1"
"pr2013080901",634,"-1"
"pr2013081001",635,"-1"
"a192013081101",636,"-1"
"pr2013081401",637,"-1"
"pr2013081601",638,"-1"
"pr2013082001",639,"-1"
"pr2013082002",640,"-1"
"a192013082101",641,"-1"
"pr2013082301",642,"-1"
"acuddeh2013082301",643,"-1"
"acuddeh2013082401",644,"-1"
"codigodh2013082601",645,"-1"
"acuddeh2013082601",646,"-1"
"acuddeh2013082701",647,"-1"
"a192013090101",648,"-1"
"pr2013090101",649,"-1"
"pr2013090102",650,"-1"
"prodesc2013090201",651,"-1"
"rsf2013090301",652,"-1"
"a192013090501",653,"-1"
"cpj2013090601",654,"-1"
"acuddeh2013090801",655,"-1"
"a192013091001",656,"-1"
"acuddeh2013091101",657,"-1"
"pr2013091201",658,"-1"
"codigodh2013091301",659,"-1"
"pr2013091401",660,"-1"
"pr2013091402",661,"-1"
"acuddeh2013091501",662,"-1"
"rsf2013091601",663,"-1"
"a192013091601",664,"-1"
"acuddeh2013091701",665,"-1"
"pr2013091701",666,"-1"
"acuddeh2013091702",667,"-1"
"acuddeh2013092201",668,"-1"
"acuddeh2013092202",669,"-1"
"rtdt2013092301",670,"-1"
"acuddeh2013092401",671,"-1"
"rsf2013093001",672,"-1"
"pr2013100201",673,"-1"
"pr2013100202",674,"-1"
"pr2013100203",675,"-1"
"pr2013100204",676,"-1"
"pr2013100205",677,"-1"
"pr2013100206",678,"-1"
"pr2013100207",679,"-1"
"pr2013100208",680,"-1"
"rsf2013100301",681,"-1"
"pr2013100401",682,"-1"
"codigodh2013100801",683,"-1"
"pr2013101001",684,"-1"
"pr2013101401",685,"-1"
"pr2013101402",686,"-1"
"acuddeh2013101601",687,"-1"
"a192013101601",688,"-1"
"pr2013101601",689,"-1"
"a192013101701",690,"-1"
"acuddeh2013101701",691,"-1"
"pr2013102101",692,"-1"
"a192013102101",693,"-1"
"a192013102301",694,"-1"
"pr2013102801",695,"-1"
"a192013102901",696,"-1"
"rtdt2013102901",697,"-1"
"pr2013103001",698,"-1"
"rsf2013103101",699,"-1"
"pr2013110401",700,"-1"
"pr2013110501",701,"-1"
"pr2013110601",702,"-1"
"pr2013110602",703,"-1"
"pr2013110701",704,"-1"
"rtdt2013110701",705,"-1"
"a192013110801",706,"-1"
"a192013110802",707,"-1"
"pr2013110901",708,"-1"
"rtdt2013111001",709,"-1"
"prodh2013111001",710,"-1"
"acuddeh2013111101",711,"-1"
"prodesc2013111101",712,"-1"
"acuddeh2013111102",713,"-1"
"acuddeh2013111201",714,"-1"
"acuddeh2013111202",715,"-1"
"pr2013111201",716,"-1"
"a192013111201",717,"-1"
"a192013111401",718,"-1"
"a192013112501",719,"-1"
"a192013120101",720,"-1"
"pr2013120101",721,"-1"
"pr2013120201",722,"-1"
"pr2013120501",723,"-1"
"prodh2013120601",724,"-1"
"pr2013120701",725,"-1"
"rsf2013120901",726,"-1"
"a192013120901",727,"-1"
